document_id,document_name,document_source_url,document_content_type,document_md5_sum,translated,has_valid_text,author,geography_iso,types,date,author_is_party,collection_id,family_id,family_name,family_slug,role,variant,status,num_text_blocks,num_pages
UNFCCC.party.589.0,Guyana First NDC,https://unfccc.int/sites/default/files/NDC/2022-06/Guyana%27s%20revised%20NDC%20-%20Final.pdf,application/pdf,b28e637a9218a83451cdc7c4da287176,False,True,['Guyana'],GUY,['Nationally Determined Contribution'],2016-05-20,True,,UNFCCC.family.589.0,Guyana First NDC,guyana-first-ndc_5955,,,,115,13
UNFCCC.non-party.1328.0,Technical analysis of the first biennial update report of Cambodia submitted on 14 August 2020. Summary report by the team of technical experts,https://unfccc.int/sites/default/files/resource/tasr2020_KHM.pdf,application/pdf,4e6f0eec934e75d5b6dddd51d38755f0,False,True,['UNFCCC Secretariat'],nan,['Technical Analysis Summary Report'],2021-07-29,False,,UNFCCC.family.1328.0,Technical analysis of the first biennial update report of Cambodia submitted on 14 August 2020. Summary report by the team of technical experts,technical-analysis-of-the-first-biennial-update-report-of-cambodia-submitted-on-14-august-2020-summary-report-by-the-team-of-technical-experts_8df6,,,,227,27
UNFCCC.party.1435.0,The government of Japan Submission to the Technical Dialogue of the First Global Stocktake,https://unfccc.int/sites/default/files/resource/202208121428---Japan_Global%20Stocktake_Submission_220810.pdf,application/pdf,6689b5dd5b31af0446c9a3d0b0b23edc,False,True,['Japan'],JPN,['Submission to the Global Stocktake'],2022-08-15,True,,UNFCCC.family.1435.0,The government of Japan Submission to the Technical Dialogue of the First Global Stocktake,the-government-of-japan-submission-to-the-technical-dialogue-of-the-first-global-stocktake_9efe,,,,186,12
UNFCCC.party.1535.0,United States of America. 2021 National Inventory Report (NIR),https://unfccc.int/sites/default/files/resource/usa-2021-nir-15apr21.zip,,,False,False,['United States of America'],USA,['National Inventory Report'],2021-04-15,True,,UNFCCC.family.1535.0,United States of America. 2021 National Inventory Report (NIR),united-states-of-america-2021-national-inventory-report-nir_3ad3,,,,0,0
UNFCCC.party.956.0,NIS to BUR3. Republic of Moldova.,https://unfccc.int/sites/default/files/resource/NIS_Report_2021_EN_211211-web.pdf,application/pdf,0918cc76405ed5ba820a5c8d0cab3f5b,False,True,['Moldova'],MDA,['National Inventory Report'],2021-12-21,True,,UNFCCC.family.956.0,NIS to BUR3. Republic of Moldova.,nis-to-bur3-republic-of-moldova_ba7e,,,,1236,276
UNFCCC.non-party.191.0,CAD2.0 Technical Dialogue inputs for the GST: University of North Carolina - Chapel Hill Research,https://unfccc.int/sites/default/files/resource/202202272101---CAD2.0%20Technical%20Dialogue%20Inputs.pdf,application/pdf,25a1e936e611a092c15ed7bbb7f4e239,False,True,['CAD2'],nan,['Submission to the Global Stocktake'],2022-04-13,False,,UNFCCC.family.191.0,CAD2.0 Technical Dialogue inputs for the GST: University of North Carolina - Chapel Hill Research,cad2-0-technical-dialogue-inputs-for-the-gst-university-of-north-carolina-chapel-hill-research_7c19,,,,44,5
UNFCCC.non-party.477.0,Facilitative sharing of views record - BUR3 Brazil,https://unfccc.int/sites/default/files/resource/FSVR3_BRA.pdf,application/pdf,221a8820b0e5d372229e7d320c14dd95,False,True,['UNFCCC Secretariat'],nan,['Facilitative Sharing of Views Report'],2021-04-09,False,,UNFCCC.family.477.0,Facilitative sharing of views record - BUR3 Brazil,facilitative-sharing-of-views-record-bur3-brazil_6b10,,,,33,3
UNFCCC.non-party.54.0,"AR6 Synthesis Report: Annex II: Acronyms, Chemical Symbols and Scientific Units",https://www.ipcc.ch/report/ar6/syr/downloads/report/IPCC_AR6_SYR_Annex-II.pdf,application/pdf,c12df64b0b0cc4b8568b9a8ca66cd526,False,True,['IPCC'],nan,['IPCC Report'],2023-03-01,False,,UNFCCC.family.53.0,AR6 Synthesis Report,ar6-synthesis-report_25b0,,,,17,3
UNFCCC.non-party.1355.0,Technical analysis of the fourth biennial update report of Argentina submitted on 31 December 2021. Summary report by the team of technical experts,https://unfccc.int/sites/default/files/resource/tasr2022_ARG.pdf,application/pdf,14ff85d53ce1c5a1b2611fc32891c20b,False,True,['UNFCCC Secretariat'],nan,['Technical Analysis Summary Report'],2023-01-17,False,,UNFCCC.family.1355.0,Technical analysis of the fourth biennial update report of Argentina submitted on 31 December 2021. Summary report by the team of technical experts,technical-analysis-of-the-fourth-biennial-update-report-of-argentina-submitted-on-31-december-2021-summary-report-by-the-team-of-technical-experts_41d3,,,,205,31
UNFCCC.non-party.1404.0,Technical analysis of the third biennial update report of Uruguay submitted on 31 December 2019. Summary report by the team of technical experts,https://unfccc.int/sites/default/files/resource/tasr2020_URY.pdf,application/pdf,a9c66ab3f9ff5d4c4e87a6d4b1dc3855,False,True,['UNFCCC Secretariat'],nan,['Technical Analysis Summary Report'],2021-06-17,False,,UNFCCC.family.1404.0,Technical analysis of the third biennial update report of Uruguay submitted on 31 December 2019. Summary report by the team of technical experts,technical-analysis-of-the-third-biennial-update-report-of-uruguay-submitted-on-31-december-2019-summary-report-by-the-team-of-technical-experts_beb0,,,,190,22
