,text,geography_iso,author,document_name,date,types0,text_block_id
0,"Allen, M.R., O.P. Dube, W. Solecki, F. Aragón-Durand, W. Cramer, S. Humphreys, M. Kainuma, J. Kala, N. Mahowald, Y.Mulugetta, R. Perez, M. Wairiu, and K. Zickfeld, 2018 Framing and Context. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty [Masson-Delmotte, V., P. Zhai, H.-O. Pörtner, D. Roberts, J Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, ML Gomis, E. Lonnay, T. Maycock, M. Tignot, and T. Waterfield (eds.)]. Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 49-92. https://doi.org/10.1017/9781009157940.003.",,['IPCC'],Chapter 1: Framing and Context,2018-10-01,IPCC Report,p_2_b_3
1,"2022: Impacts, Adaptation and Vulnerability; and AR6 Climate Change 2022: Mitigation of Climate Change. Their assessments cover scientific literature accepted for publication respectively by 31 January 2021, 1 September 2021 and 11 October 2021. 2 The three Special Reports are: Global Warming of 1.5°C (2018): an IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty (SR1.5); Climate Change and Land (2019): an IPCC Special Report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems (SRCCL); and The Ocean and Cryosphere in a Changing Climate (2019) (SROCC). The Special Reports cover scientific literature accepted for publication respectively by 15 May 2018, 7 April 2019 and 15 May 2019. In this report, the near term is defined as the period until 2040. The long term is defined as the period beyond 2040. * Each finding is grounded in an evaluation of underlying evidence and agreement. The IPCC calibrated language uses five qualifiers to express a level of confidence: very low, low, medium, high and very high, and typeset in italics, for example, medium confidence. The following terms are used to indicate the assessed likelihood of an outcome or a result: virtually certain 99-100% probability, very likely 90-100%, likely 66-100%, more likely than not >50-100% , about as likely as not 33-66 %, unlikely 0-33%, very unlikely 0-10%, exceptionally unlikely 0-1%. Additional terms (extremely likely 95-100%; more likely than not >50-100%; and extremely unlikely 0- 5%) are also used when appropriate. Assessed likelihood is typeset in italics, e.g., very likely. This is consistent with AR5 and the other AR6 Reports. Subject to Convedit nl",,['IPCC'],AR6 Synthesis Report: Summary for Policymakers,2023-03-01,IPCC Report,p_2_b_3
2,"Djalante, R. et al., 2018: Cross-Chapter Box 12: Residual risks, limits to adaptation and loss and damage. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty (Masson-Delmotte, V., P. Zhai, H.O. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, LB.R. Matthews, Y. Chen, X. Zhou, ML Gomis, E. Lonnoy, T. Maycock, M. Tignor and T. Waterfield (eds.)]. In press.",,['IPCC'],Cross-Chapter Box 9: Integrative Cross-Chapter Box on Low-lying Islands and Coasts,2019-09-01,IPCC Report,p_13_b_5
3,"Hoegh-Guldberg, O. et al, 2018: Impacts of 1.5°C global warming on natural and human systems. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty Masson-Delmotte, V., P. Zhai, H.O. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, JB.R. Matthews, Y. Chen, X. Zhou, M.I. Gomis, E. Lonnoy, T. Maycock, M. Tignor and T. Waterfield (eds.)). In press.",,['IPCC'],Cross-Chapter Box 9: Integrative Cross-Chapter Box on Low-lying Islands and Coasts,2019-09-01,IPCC Report,p_14_b_2
4,"Hoegh-Guldberg, O., D. Jacob, M. Taylor, M. Bindi, S. Brown, I. Camilloni, A. Diedhiou, R. Djalante, KL. Ebi F. Engelbrecht, J. Guiot, Y. Hijioka, S. Mehrotra, A. Payne, S. Seneviratne, A. Thomas, R. Warren, and G. Zhou, 2018: Impacts of 1.5°C Global Warming on Natural and Human Systems. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development and efforts to eradicate poverty [Masson-Delmotte, V, P. Zhai, H.-O. Pärtner, D. Roberts, L. Skea, P.R. Shukla A. Pirani WMoufouma-Okia, C. Pean, R. Pidcock, S. Connors, LB.R. Matthews, Y Chen, X. Zhou, M.L Gomis, E. Lonnay, T. Maycock, M. Tignot, and T. Waterfield (eds.)]. Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 175-312. https://doi.org/10.1017/9781009157940.005.",,['IPCC'],Chapter 3: Impacts of 1.5°C of Global Warming on Natural and Human Systems,2018-10-01,IPCC Report,p_0_b_3
5,"Hoegh-Guldberg, O. et al, 2018: Impacts of 1.5°C Global Warming on Natural and Human Systems. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty (MassonDelmotte, V., P. Zhai, H.O. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, ML Gomis, E. Lonnoy, T. Maycock, M. Tignor and TWaterfield (eds.)). 630 pp, In Press.",,['IPCC'],"Chapter 5: Changing Ocean, Marine Ecosystems, and Dependent Communities",2019-09-01,IPCC Report,p_116_b_7
6,"Roy, L, P.Tschakert, H. Waisman, S. Abdul Halim, P. Antwi-Agyei, P. Dasgupta, B. Hayward, M. Kanninen, D. Liverman, C. Okereke, P.F. Pinho, K. Riahi, andA. G. Suarez Rodriguez, 2018: Sustainable Development, Poverty Eradication and Reducing Inequalities. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty (Masson-Delmotte, V., P. Zhai, H.-Q. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Pean, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, M.J. Gomis, E. Lonnay, T. Maycock, M. Tignor, and T. Waterfield (eds.)]. Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 445-538. https://doi.org/10.1017/9781009157940.007.",,['IPCC'],"Chapter 5: Sustainable Development, Poverty Eradication and Reducing Inequalities",2018-10-01,IPCC Report,p_0_b_1
7,"Rogelj, J, D. Shindell, K. Jiang, S. Fifita, P. Forster, V. Ginzburg, C. Handa, H. Kheshgi, S. Kobayashi, E. Kriegler, L. Mundaca, R. Séférian, and M.V.Vilariño, 2018a: Mitigation Pathways Compatible with 1.5°C in the Context of Sustainable Development. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre- industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty Masson-Delmotte, V., P. Zhai, H.-O. Pörtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Péan, R. Pidcock, S. Connors, IB.R. Matthews, Y. Chen, X. Zhou, M.I. Gomis, E. Lonnoy, T. Maycock, M. Tignor, and T. Waterfield (eds.)). Cambridge University Press, Cambridge, UK and New York, NY, USA.",,['IPCC'],Annex III: Scenarios and Modelling Methods,2022-04-04,IPCC Report,p_63_b_7
8,"Impacts, Adaptation and Vulnerability; and Climate Change 2022: Mitigation of Climate Change, respectively. Their assessments cover scientific literature accepted for publication respectively by 31 January 2021, 1 September 2021 and 11 October 2021. The three Special Reports are: Global Warming of 1.5°C (2018): an IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty (SR1.5); Climate Change and Land (2019): an IPCC Special Report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems (SRCCL); and The Ocean and Cryosphere in a Changing Climate (2019) (SROCC). The Special Reports cover scientific literature accepted for publication respectively by 15 May 2018, 7 April 2019 and 15 May 2019. ³ The Glossary (Annex I) includes definitions of these, and other terms and concepts used in this report drawn from the AR6 joint Working Group Glossary. * Depending on the climate information context, geographical regions in AR6 may refer to larger areas, such as sub-continents and",,['IPCC'],AR6 Synthesis Report: Longer Report,2023-03-01,IPCC Report,p_3_b_9
9,"Rogelj, J, D. Shindell, K. Jiang, S. Fifita, P. Forster V. Ginzburg, C. Handa, H. Kheshgi, S. Kobayashi, E. Kriegler, L. Mundaca, R. Séférian, and M.V.Vilariño, 2018: Mitigation Pathways Compatible with 1.5°C in the Context of Sustainable Development. In: Global Warming of 1.5°C. An IPCC Special Report on the impacts of global warming of 1.5°C above pre-industrial levels and related global greenhouse gas emission pathways in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty [Masson-Delmatte, V., P. Zhai, H.-Q. Pärtner, D. Roberts, J. Skea, P.R. Shukla, A. Pirani, W. Moufouma-Okia, C. Pean, R. Pidcock, S. Connors, J.B.R. Matthews, Y. Chen, X. Zhou, MJ. Gomis, E. Lonnay, T. Maycock, M. Tignot, and T. Waterfield (eds.)]. Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 93-174. https://doi.org/10.1017/9781009157940.004.",,['IPCC'],Chapter 2: Mitigation Pathways Compatible with 1.5°C in the Context of Sustainable Development,2018-10-01,IPCC Report,p_0_b_1
