,Text (IPCC report),Text (IPCC report) - Row Index,Text (IPCC mentions),Text (IPCC mentions) - Row Index,Distance,Ratio,Matching Text
0,"Center for Global Environmental Research, National Institute for Environmental Studies Japan",4,"San Salvador: Ministry of the Environment and Natural Resources, National Service for Territorial Studies.",1310,61,0.5656565656565656,"[' Environment', ', National ', 'e for ', 'al Studies']"
1,Food and Agriculture Organization of the United Nations The United States of America/Italy,7,The dataset that is employed is from the Food and Agricultural Organization (FAO) of the United Nations Global Forest Resource Assessment 2010 for Kenya.,441,90,0.5514403292181069,"['Food and Agricultur', ' Organization ', 'of the United Nations ']"
2,Food and Agriculture Organization of the United Nations The United States of America/Italy,7,Dietary protein values were estimated from data from the Food and Agriculture Organization of the United Nations (FAO).,2234,89,0.5454545454545454,['he United ']
3,Food and Agriculture Organization of the United Nations The United States of America/Italy,7,"The two international organisations were: Food and Agriculture Organisation of the United Nations (FAO), and Southern African Development Community (SADC).",2805,89,0.5714285714285714,"['Food and Agriculture Organi', 'ation of the United Nations ']"
4,Food and Agriculture Organization of the United Nations The United States of America/Italy,7,Dietary protein values were estimated from data from the Food and Agriculture Organization of the United Nations (FAO).,3506,89,0.5454545454545454,['he United ']
5,Climate adaptation refers to the actions taken to manage impacts of climate change by reducing vulnerability and exposure to its harmful effects and exploiting any potential benefits.,12,Climate change intensity in Mongolia will be much high compared to the world average of climate change due to geographic location and topography features of the country and likely to continue to keep this trend in near future.,322,148,0.5036674816625917,"['Climate ', ' of climate change ']"
6,Climate adaptation refers to the actions taken to manage impacts of climate change by reducing vulnerability and exposure to its harmful effects and exploiting any potential benefits.,12,"As the United States prepares domestically to reduce and manage the impacts of climate change, it is also committed to enhancing international cooperation and helping vulnerable countries adapt.",341,126,0.5039787798408488,"[' manage ', 'impacts of climate change']"
7,Climate adaptation refers to the actions taken to manage impacts of climate change by reducing vulnerability and exposure to its harmful effects and exploiting any potential benefits.,12,"Finally, the implementation of climate change activities to mitigate the impact of climate change requires funds from public budget and/or bilateral and multilateral development partners.",2479,121,0.5459459459459459,"['tation ', 'e acti', 'impact', ' of climate change ']"
8,Climate adaptation refers to the actions taken to manage impacts of climate change by reducing vulnerability and exposure to its harmful effects and exploiting any potential benefits.,12,The implementations of climate change activities targeted to reduce or mitigate the impact of climate change solicit funds from the public budget and/or bilateral and multilateral development partners.,2480,131,0.515625,"['tation', 'e acti', 'impact', ' of climate change ']"
9,Climate adaptation refers to the actions taken to manage impacts of climate change by reducing vulnerability and exposure to its harmful effects and exploiting any potential benefits.,12,"Similarly, adapting to the predicted effects of climate change involves implementing sustainable natural resource management that is deemed already essential in present times.",2984,126,0.5139664804469274,"[' adapt', ' to the ', 'cts of climate change ']"
10,Climate adaptation refers to the actions taken to manage impacts of climate change by reducing vulnerability and exposure to its harmful effects and exploiting any potential benefits.,12,"14 Adaptation: According to the IPCC (2007), it refers to initiatives and measures aimed at reducing the vulnerability of natural and human systems to the real expected effects of climate change; they act on the consequences of climate change.",3021,156,0.5070422535211268,"['daptation', ' to the ', ' reducing ', 'vulnerability ', ' effects ']"
11,Climate adaptation refers to the actions taken to manage impacts of climate change by reducing vulnerability and exposure to its harmful effects and exploiting any potential benefits.,12,"According to the White Paper (2009), understanding the impacts of climate change, developing and applying measures to ensure an optimal level of adaptation is the challenge for policy makers in all countries.",3026,135,0.5012787723785166,['e impacts of climate change']
12,"Adaptation takes place at international, national and local levels.",12,International bunkers cover international aviation and water-borne navigation according to the 2006 IPCC Guidelines.,45,76,0.5027322404371585,[' international']
13,"Adaptation takes place at international, national and local levels.",12,The national and international data is not consistent.,798,37,0.5454545454545454,['international']
14,"Adaptation takes place at international, national and local levels.",12,Adaptation has also been done to accommodate the mitigation actions considered.,1149,50,0.547945205479452,['Adaptation ']
15,"Adaptation takes place at international, national and local levels.",12,The reports have been widely noted in both traditional and social media.,1454,47,0.5035971223021583,['tional and ']
16,"Adaptation takes place at international, national and local levels.",12,Emissions related to incineration concern only healthcare waste.,1470,47,0.5038167938931297,[]
17,"Adaptation takes place at international, national and local levels.",12,Adaptation finance has come predominantly from public sources.,1525,43,0.5116279069767442,['Adaptation ']
18,"Adaptation takes place at international, national and local levels.",12,Activity data is provided at the national level.,2020,40,0.5565217391304348,[' national ']
