,Topic,0,1,2,Top_words,topic_count,%_total
0,0,"As mentioned in Section 3.3.1, there is an important land-sea warming contrast, with stronger warming on land (see also Christensen et al., 2013; Collins et al., 2013; Seneviratne et al., 2016), which implies that regional warming on land is generally more than 1.5°C even when mean global warming is at 1.5°C. As highlighted in Seneviratne et al. (2016), this feature is generally stronger for temperature extremes (Figures 3.4 and 3.5; Supplementary Material 3.SM.2). For differences in regional temperature extremes at a mean global warming of 1.5°C versus 2°C, that is, a difference of 0.5°C in global warming, this implies differences of as much as 1°C-1.5°C in some locations, which are two to three times larger than the differences in global mean temperature. For hot extremes, the strongest warming is found in central and eastern North America, central and southern Europe, the Mediterranean, western and central Asia, and southern Africa (Figures 3.4 and 3.5) (medium confidence). These regions are all characterized by a strong soil-moisture-temperature coupling and projected increased dryness (Vogel et al., 2017), which leads to a reduction in evaporative cooling in the projections. Some of these regions also show a wide range of responses to temperature extremes, in particular central Europe and central North America, owing to discrepancies in the representation of the underlying processes in current climate models (Vogel et al, 2017). For mean temperature and cold extremes, the strongest warming is found in the northern high-latitude regions (high confidence). This is due to substantial ice-snow-albedo-temperature feedbacks (Figure 3.3 and Figure 3.4, middle) related to the known 'polar amplification' mechanism (e.g., IPCC, 2013; Masson-Delmotte et al, 2013).","The rate of sea level rise since the mid-19th century has been larger than the mean rate of the previous two millennia (high confidence). Over the period 1901 to 2010, global mean sea level rose by 0.19 (0.17-0.21) m (high confidence) (Church et al, 2013; Table SM1.1). Sea level rise continues due to freshwater added to the ocean by melting of glaciers and ice sheets, and as a result of ocean expansion due to continuous ocean warming, with a projected acceleration and century to millennial-scale commitments for ongoing rise (Section 4.2.3). In SROCC, recent developments of ice sheet modelling are assessed (Sections 1.8, 4.3, Cross-Chapter Box 8 in Chapter 3) and the projected sea level rise at the end of 21st century is higher than reported in ARS but with a larger uncertainty range (Sections 4.2.3.2, 4.2.3.3).","Figure SPM.3 (continued): (a) depth integrated net primary production (NPP from CMPS), (b) total animal biomass (depth integrated, including fishes and invertebrates from FISHMIP), (c) maximum fisheries catch potential and (d) impacts and risks for coastal and open ocean ecosystems. The three left panels represent the simulated (a,b) and observed (c) mean values for the recent past (1986-2005), the middle and right panels represent projected changes (%) by 2081-2100 relative to recent past under low (RCP2.6) and high (RCP8.5) greenhouse gas emissions scenario (Box SPM. 1), respectively. Total animal biomass in the recent past (b, left panel) represents the projected total animal biomass by each spatial pixel relative to the global average (c) ""Average observed fisheries catch in the recent past (based on data from the Sea Around Us global fisheries database); projected changes in maximum fisheries catch potential in shelf seas are based on the average outputs from two fisheries and marine ecosystem models. To indicate areas of model inconsistency, shaded areas represent regions where models disagree in the direction of change for more than: (a) and (b) 3 out of 10 model projections, and (c) one out of two models. Although unshaded, the projected change in the Arctic and Antarctic regions in (b) total animal biomass and (c) fisheries catch potential have low confidence due to uncertainties associated with modelling multiple interacting drivers and ecosystem responses. Projections presented in (b) and (c) are driven by changes in ocean physical and biogeochemical conditions e.g., temperature, oxygen level, and net primary production projected from CMIPS Earth system models. The epipelagic refers to the uppermost part of the ocean with depth <200 m from the surface where there is enough sunlight to allow photosynthesis. (d) Assessment of risks for coastal and open ocean ecosystems based on observed and projected climate impacts on ecosystem structure, functioning and biodiversity. Impacts and risks are shown in relation to changes in Global Mean Surface Temperature (GMST) relative to pre-industrial level. Since assessments of risks and impacts are based on global mean Sea Surface Temperature (SST), the corresponding SST levels are shown. The assessment of risk transitions is described in Chapter 5 Sections 5.2, 5.3, 5.2.5 and 5.3.7 and Supplementary Materials SM5.3, Table SM5.6, Table SM5.8 and other parts of the underlying report. The figure indicates assessed risks at approximate warming levels and increasing climate-related hazards in the ocean: ocean warming, acidification, deoxygenation, increased density stratification, changes in carbon fluxes, sea level rise, and increased frequency and/or intensity of extreme events. The assessment considers the natural adaptive capacity of the ecosystems, their exposure and vulnerability. Impact and risk levels do not consider risk reduction strategies such as human interventions, or future changes in non-climatic drivers. Risks for ecosystems were assessed by considering biological, biogeochemical, geomorphological and physical aspects. Higher risks associated with compound effects of climate hazards include habitat and biodiversity lass, changes in species composition and distribution ranges, and impacts/risks on ecosystem structure and functioning, including changes in animal plant biomass and density, productivity, carbon fluxes, and sediment transport. As part of the assessment, literature was compiled and data extracted into a summary table. A multi-round expert elicitation process was undertaken with independent evaluation of threshold judgement, and a final consensus discussion. Further information on methods and underlying literature can be found in Chapter 5, Sections 5.2 and 5.3 and Supplementary Material. (3.2.3, 3.2.4, 5.2, 5.3, 5.2.5, 5.3.7, SM5.6, SM5.8, Figure 5.16, Crass Chapter Bax 1 in Chapter 1 Table CCB1]",0_confidence_warming_ice_changes,8320,50.0
1,1,"If obstacles to accelerated mitigation are rooted in underlying structural features of society, then transforming such structures can support emission reductions (4.2.6). Countries and regions will have different starting points for transition pathways. Some critical differences between countries include climate conditions resulting in different heating and cooling needs, endowments with different energy resources, patterns of spatial development, and political and economic conditions (4.2.5). The way countries develop determines their capacity to accelerate mitigation and achieve other sustainable development objectives simultaneously (medium confidence) (4.3.1, 4.3.2). Yet meeting ambitious mitigation and development goals cannot be achieved through incremental change (robust evidence, medium agreement). Though development pathways result from the actions of a wide range of actors, it is possible to shift development pathways through policies and enhancing enabling conditions (limited evidence, medium agreement).","International climate agreements, rising national ambitions for climate action, along with rising public awareness are accelerating efforts to address climate change at multiple levels of governance. Mitigation policies have contributed to a decrease in global energy and carbon intensity, with several countries achieving GHG emission reductions for over a decade. Low-emission technologies are becoming more affordable, with many low or zero emissions options now available for energy, buildings, transport, and industry. Adaptation planning and implementation progress has generated multiple benefits, with effective adaptation options having the potential to reduce climate risks and contribute to sustainable development. Global tracked finance for mitigation and adaptation has seen an upward trend since AR5, but falls short of needs. (high confidence)","Approaches that align goals and actions across sectors provide opportunities for multiple and largescale benefits and avoided damages in the near-term. Such measures can also achieve greater benefits through cascading effects across sectors (medium confidence). For example, the feasibility of using land for both agriculture and centralised solar production can increase when such options are combined (high confidence). Similarly, integrated transport and energy infrastructure planning and operations can together reduce the environmental, social, and economic impacts of decarbonising the transport and energy sectors (high confidence). The implementation of packages of multiple city-scale mitigation strategies can have cascading effects across sectors and reduce GHG emissions both within and outside a city's administrative boundaries (very high confidence). Integrated design approaches to the construction and retrofit of buildings provide increasing examples of zero energy or zero carbon buildings in several regions. To minimise maladaptation, multi-sectoral, multi-actor and inclusive planning with flexible pathways encourages lowregret and timely actions that keep options open, ensure benefits in multiple sectors and systems and suggest the available solution space for adapting to long-term climate change (very high confidence). Trade-offs in terms of employment, water use, land-use competition and biodiversity, as well as access to, and the affordability of, energy, food, and water can be avoided by well-implemented land-based mitigation options, especially those that do not threaten existing sustainable land uses and land rights, with frameworks for integrated policy implementation (high confidence) (WGII SPM C.2, WGII SPM C.2.1-2.13, WGII SPM C.4.4; WGIII SPM C.6.3, WGIII SPM C.6, WGIII SPM C.7.2, WGIII SPM C.8.5, WGIII SPM D.1.2, WGIII SPM D.1.5, WGIII SPM E.1.2)",1_energy_development_pathways_mitigation,3567,21.0
2,2,"compatible with lower emissions have demonstrable positive impacts on land use and food security (high confidence). Food security is also negatively affected by food loss and waste (estimated as 25-30% of total food produced) (medium confidence). Barriers to improved food security include economic drivers (prices, availability and stability of supply) and traditional, social and cultural norms around food eating practices. Climate change is expected to increase variability in food production and prices globally (high confidence), but the trade in food commodities can buffer these effects. Trade can provide embodied flows of water, land and nutrients (medium confidence). Food trade can also have negative environmental impacts by displacing the effects of overconsumption (medium confidence). Future food systems and trade patterns will be shaped as much by policies as by economics (medium confidence). (1.2.1, 1.3.3)","Food loss and waste impacts food security by reducing global and local food availability, limiting food access due to an increase in food prices and a decrease of producer income, affecting future food production due to the unstainable use of natural resources (HLPE 2014). Food loss is defined as the reduction of edible food during production, postharvest, and processing, whereas food discarded by consumers is considered as food waste (FAO 2011b). Combined food loss and waste amount to 25-30% of total food produced (medium confidence). During 2010-2016, global food loss and waste equalled 8-10% of total GHG emissions (medium confidence); and cost about 1 trillion USD per year (low confidence) (FAO 2014b).","Sustainable food supply and food consumption, based on nutritionally balanced and diverse diets, would enhance food security under climate and socio-economic changes (high confidence). Improving food access, utilisation, quality and safety to enhance nutrition, and promoting globally equitable diets compatible with lower emissions have demonstrable positive impacts on land use and food security (high confidence). Food security is also negatively affected by food loss and waste (estimated as 25-30% of total food produced) (medium confidence). Barriers to improved food security include economic drivers (prices, availability and stability of supply) and traditional, social and cultural norms around food eating practices. Climate change is expected to increase variability in food production and prices globally (high confidence), but the trade in food commodities can buffer these effects. Trade can provide embodied",2_food_production_security_land,1164,7.0
3,3,"In this report, desertification is defined as land degradation in arid, semi-arid, and dry sub-humid areas resulting from many factors, including climatic variations and human activities (United Nations Convention to Combat Desertification (UNCCD) 1994). Land degradation is a negative trend in land condition, caused by direct or indirect human-induced processes including anthropogenic climate change, expressed as long-term reduction or loss of at least one of the following: biological productivity, ecological integrity or value to humans (Section 4.1.3). Arid, semi-arid, and dry sub-humid areas, together with hyper-arid areas, constitute drylands (UNEP 1992), home to about 3 billion people (van der Esch et al 2017). The difference between desertification and land degradation is not process-based but geographic. Although land degradation can occur anywhere across the world, when it occurs in drylands, it is considered desertification (FAQ 1.3). Desertification is not limited to irreversible forms of land degradation, nor is it equated to desert expansion, but represents all forms and levels of land degradation occurring in drylands.","Table 4.2 | Interaction of human and climate drivers can exacerbate desertification and land degradation. Climate change exacerbates the rate and magnitude of several ongoing land degradation and desertification processes. Human drivers of land degradation and desertification include expanding agriculture, agricultural practices and forest management. In turn, land degradation and desertification are also drivers of climate change through GHG emissions, reduced rates of carbon uptake, and reduced capacity of ecosystems to act as carbon sinks into the future. Impacts on climate change are either warming (in red) or cooling (in blue).","Desertification is land degradation in arid, semi-arid, and dry sub-humid areas, collectively known as drylands, resulting from many factors, including human activities and climatic variations. The range and intensity of desertification have increased in some dryland areas over the past several decades (high confidence). Drylands currently cover about 46.2% (+0.8%) of the global land area and are home to 3 billion people. The multiplicity and complexity of the processes of desertification make its quantification difficult. Desertification hotspots, as identified by a decline in vegetation productivity between the 1980s and 2000s, extended to about 9.2% of drylands (0.5%), affecting about 500 (+120) million people in 2015. The highest numbers of people affected are in South and East Asia, the circum Sahara region including North Africa and the Middle East including the Arabian Peninsula (low confidence). Other dryland regions have also experienced desertification. Desertification has already reduced agricultural productivity and incomes (high confidence) and contributed to the loss of biodiversity in some dryland regions (medium confidence). In many dryland areas, spread of invasive plants has led to losses in ecosystem services (high confidence), while over-extraction is leading to groundwater depletion (high confidence). Unsustainable land management, particularly when coupled with droughts, has contributed to higher dust-storm activity, reducing human well-being in drylands and beyond (high confidence). Dust storms were associated with global cardiopulmonary mortality of about 402,000 people in 2005. Higher intensity of sand storms and sand dune movements are causing disruption and damage to transportation and solar and wind energy harvesting infrastructures (high confidence). (3.1.1, 3.1.4, 3.2.1, 3.3.1, 3.4.1, 3.4.2, 3.4.2, 3.7.3, 3.7.4)",3_desertification_degradation_land_erosion,557,3.0
4,4,"Bioenergy with carbon dioxide capture and storage (BECCS) Carbon dioxide capture and storage (CCS) technology applied to a bioenergy facility. Note that depending on the total emissions of the BECCS supply chain, carbon dioxide (CO₂) can be removed from the atmosphere. See also Bioenergy, and Carbon dioxide capture and storage (CCS).","IAMs assume bioenergy to be supplied mostly from second generation biomass feedstocks such as dedicated cellulosic crops (for example Miscanthus or poplar) as well as agricultural and forest residues. Detailed process IAMs include land-use models that capture competition for land for different uses (food, feed, fiber, bioenergy, carbon storage, biodiversity protection) under a range of dynamic factors including socio-economic drivers, productivity increases in crop and livestock systems, food demand, and land, environmental biodiversity, and carbon policies. Assumptions about these factors can vary widely between different scenarios (Calvin et al, 2014; Popp et al., 2017; van Vuuren et al., 2018). IAMS capture a number of potential environmental impacts from bioenergy production, in particular indirect land-use change emissions from land conversion and nitrogen and water use for bioenergy production (Kraxner et al., 2013; Bodirsky et al, 2014; Bonsch et al, 2014; Obersteiner et al., 2016; Humpenöder et al., 2018). The impact of bioenergy production on soil degradation is an area of active IAM development and was not comprehensively accounted for in the mitigation pathways assessed in this report (but is, for example, in Frank et al., 2017). Whether bioenergy has large adverse impacts on environmental and societal goals depends in large parts on the governance of land use (Haberl et al., 2013; Erb et al., 2016b; Obersteiner et al., 2016; Humpenöder et al., 2018). Here IAMs often make idealized assumptions about effective land management, such as full protection of the land carbon stock by conservation measures and a global carbon price, respectively, but variations on these assumptions have also been explored (Calvin et al., 2014; Popp et al, 2014a).","Bioenergy with carbon dioxide capture and storage (BECCS) Carbon dioxide capture and storage (CCS) technology applied to a bioenergy facility. Note that depending on the total emissions of the BECCS supply chain, carbon dioxide (CO₂) can be removed from the atmosphere. See also Carbon dioxide capture and storage (CCS), Anthropogenic removals and Carbon dioxide removal (CDR).",4_bioenergy_cdr_beccs_land,399,2.0
5,5,"In this section, the impacts on desertification of integrated response options based on land management are assessed.","In this section, the impacts on climate change adaptation of integrated response options based on land management are assessed.",Table 6.8 Integrated response options based on land management of all/other ecosystems.,5_options_response_management_land,300,2.0
6,6,"Aerosol A suspension of airborne solid or liquid particles, with typical particle size in the range of a few nanometres to several tens of micrometres and atmospheric lifetimes of up to several days in the troposphere and up to years in the stratosphere. The term aerosol, which includes both the particles and the suspending gas, is often used in this report in its plural form to mean 'aerosol particles'. Aerosols may be of either natural or anthropogenic origin in the troposphere; stratospheric aerosols mostly stem from volcanic eruptions. Aerosols can cause an effective radiative forcing directly through scattering and absorbing radiation (aerosol-radiation interaction), and indirectly by acting as cloud condensation nuclei or  cloud interaction), and upon deposition on snow- or ice-covered surfaces. Atmospheric aerosols may be either emitted as primary particulate matter or formed within the atmosphere from gaseous precursors (secondary production). Aerosols may be composed of sea salt, organic carbon, black carbon (BC), mineral species (mainly desert dust), sulphate, nitrate and ammonium or their mixtures. See also Short-lived climate forcers (SLCFs).","5 y y at Effective radiative forcing (ERF) See Radiative forcing, Aerosol effective radiative forcing (ERFari+aci) (under Aerosol- radiation interaction), Effective radiative forcing (or effect) due to aerosol-cloud interactions (ERFaci) (under Aerosol-cloud interaction) and Effective radiative forcing (or effect) due to aerosol-radiation interactions (ERFari) (under Aerosol-radiation interaction).","A suspension of airborne solid or liquid particles, with typical particle size in the range of a few nanometres to several tens of micrometres and atmospheric lifetimes of up to several days in the troposphere and up to years in the stratosphere. The term aerosol, which includes both the particles and the suspending gas, is often used in this report in its plural form to mean 'aerosol particles'. Aerosols may be of either natural or anthropogenic origin in the troposphere; stratospheric aerosols mostly stem from volcanic eruptions. Aerosols can cause an effective radiative forcing directly through scattering and absorbing radiation (aerosol-radiation interaction), and indirectly by acting as cloud condensation nuclei or ice nucleating particles that affect the properties of clouds (aerosol-cloud interaction), and upon deposition on snow- or ice-covered surfaces. Atmospheric aerosols may be either emitted as primary particulate matter or formed within the atmosphere from gaseous precursors (secondary production). Aerosols may be composed of sea salt, organic carbon, black carbon (BC), mineral species (mainly desert dust), sulphate, nitrate and ammonium or their mixtures. See also: Particulate matter (PM), Aerosol-radiation interaction, Short-lived climate forcers (SLCFs).",6_srm_aerosol_radiation_radiative,269,2.0
7,7,"Figure SPM.S| Sea level rise risks and responses. The term response is used here instead of adaptation because some responses, such as retreat, may or may not be considered to be adaptation. (a) shows the combined risk of coastal flooding, erosion and salinization for illustrative geographies in 2100, due to changing mean and extreme sea levels under RCP2.6 and RCP8.5 and under two response scenarios. Risks under RCPs 4.5 and 6.0 were not assessed due to a lack of literature for the assessed geographies. The assessment does not account for changes in extreme sea level beyond those directly induced by mean sea level rise, risk levels could increase if other changes in extreme sea levels were considered (e.g., due to changes in cyclone intensity). Panel a) considers a socioeconomic scenario with relatively stable coastal population density over the century. (SM4.3.2) Risks to illustrative geographies have been assessed based on relative sea level changes projected for a set of specific examples: New York City, Shanghai and Rotterdam for resource-rich coastal cities covering a wide range of response experiences; South Tarawa, Fongafale and Male' for urban atoll islands; Mekong and Ganges-Brahmaputra-Meghna for large tropical agricultural deltas; and Bykovskiy, Shishmaref, Kivalina, Tuktoyaktuk and Shingle Point for Arctic communities located in regions remote from rapid glacio-isostatic adjustment. [4.2, 4.3.4, SM4.2) The assessment distinguishes between two contrasting response scenarios. ""No-to-moderate response"" describes efforts as of today (ie, no further significant action or new types of actions). ""Maximum potential response"" represents a combination of responses implemented to their full extent and thus significant additional efforts compared to today, assuming minimal financial, social and political barriers. The assessment has been conducted for each sea level rise and response scenario, as indicated by the burning embers in the figure, in-between risk levels are interpolated. [4.3.3] The assessment criteria include exposure and vulnerability (density of assets, level of degradation of terrestrial and marine buffer ecosystems), coastal hazards (flooding, shoreline erosion, salinization), in-situ responses (hard engineered coastal defenses, ecosystem restoration or creation of new natural buffers areas, and subsidence management) and planned relocation. Planned relocation refers to managed retreat or resettlement as described in Chapter 4, Le, proactive and local-scale measures to reduce risk by relocating people, assets and infrastructure. Forced displacement is not considered in this assessment. Panel (a) also highlights the relative contributions of in-situ responses and planned relocation to the total risk reduction. (b) schematically illustrates the risk reduction (vertical arrows) and risk delay (horizontal arrows) through mitigation and/or responses to sea level rise. (c) summarizes and assesses responses to sea level rise in terms of their effectiveness, costs, co-benefits, drawbacks, economic efficiency and associated governance challenges. (4.4.2) (d) presents generic steps of an adaptive decision-making approach, as well as key enabling conditions for responses to sea level rise. [4.4.4, 4.4.5)","SLR, as well as the context for adaptation, will vary regionally and locally, thus action to reduce risks related to SLR takes different forms depending on the local circumstances. ""Hard protection', like dikes and seawalls, can effectively reduce risk under two or more metres of SLR but it is inevitable that limits will be reached. Such protection produces benefits that exceed its costs in low-lying coastal areas that are densely populated, as is the case for many coastal cities and some small islands, but in general, poorer regions will not be able to afford hard protection. Maintaining healthy coastal ecosystems, like mangroves, seagrass beds or coral reefs, can provide 'soft protection' and other benefits. SLR can also be accommodated' by raising buildings on the shoreline, for example. Land can be reclaimed from the sea by building outwards and upwards. In coastal locations where the risk is very high and cannot be effectively reduced, 'retreat' from the shoreline is the only way to eliminate such risk. Avoiding new development commitments in areas exposed to coastal hazards and SLR also avoids additional risk.","Flood risk studies that have included adaptation find that hard coastal protection is generally very effective in reducing flood risks during the 21st century even under high SLR scenarios (high confidence; Hinkel et al., 2014; Diaz, 2016; Brown et al., 2018a; Hinkell et al, 2018; Lincke and Hinkel, 2018; Tamura et al., 2019) (Section 4.4.2.2.2). For example, Hinkel et al. (2014) find that under 25-123 cm of SLR in 2100 and all SSPs, hard coastal protection reduces the annual number of people affected by coastal floods and EAD by 2-3 orders of magnitude. Under high-end SLR and beyond the 21st century, effectiveness of coastal adaptation is expected to decline rapidly, but there is a lack of studies addressing this issue. Furthermore, there is a lack of studies taking into account responses beyond hard protection such as ecosystem-based adaptation, accommodation, advance and retreat (Sections 4.4.2).",7_coastal_slr_protection_sea,268,2.0
8,8,"Emission scenario A plausible representation of the future development of emissions of substances that are radiatively active (e.g., greenhouse gases (GHGS), aerosols) based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological change, energy and land use) and their key relationships. Concentration scenarios, derived from emission scenarios, are often used as input to a climate model to compute climate projections. See also Baseline scenario, Mitigation scenario, Representative Concentration Pathways (RCPs) (under Pathways), Shared socio-economic pathways (SSP) (under Pathways), Scenario, Socio-economic scenario, and Transformation pathway.","Emission scenario A plausible representation of the future development of emissions of substances that are radiatively active (e.g., greenhouse gases (GHGS), aerosols) based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological change, energy and land use) and their key relationships. Concentration scenarios, derived from emission scenarios, are often used as input to a climate model to compute climate projections. See also Baseline scenario, Mitigation scenario, Socio-economic scenario, Scenario, Representative Concentration Pathways (RCPs) (under Pathways), Shared Socio-economic Pathways (SSPS) (under Pathways) and Transformation pathways (under Pathways).","A plausible representation of the future development of emissions of substances that are radiatively active (e.g., greenhouse gases, or aerosols) based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socioeconomic development, technological change, energy and land use) and their key relationships. Concentration scenarios, derived from emission scenarios, are often used as input to a climate model to compute climate projections. See also Driver, Forcing, Mitigation scenario, Radiative forcing, Representative concentration pathways (RCPs, under Pathways), Shared socioeconomic pathways (SSPs, under Pathways) and Scenario.",8_scenarios_scenario_socioeconomic_ssps,244,1.0
9,9,"Department of Geographical Sciences, University of Maryland the United States of America",Institute for Governance & Sustainable Development The United States of America,U.S. Department of Health and Human Services The United States of America,9_united_states_america_sciences,238,1.0
